20Kb_5End 20Kb_3End Within Within+10Kb
17703 11622 62000 62000
28432 10152 34569 43000
26571 17610 48430 55000
0 0 30000 30000
0 0 0 0
0 0 0 0
26176 17000 71060 85000
0 0 0 0
20928 0 76073 77000
13913 15426 0 5426
20113 21379 1267 11379
24014 40001 30649 44662
38315 0 18315 28315
0 23628 27373 31000
12001 14937 27000 27459
14440 14194 0 4440
13741 0 0 3741
0 0 0 0
0 26180 118821 125000
0 4757 0 0
17000 11957 34959 42000
18000 18000 8225 18000
18443 19144 32000 32000
0 0 0 0
0 31466 38535 48535
15871 14000 84234 92000
19729 0 37000 37000
31336 12013 28665 38665
0 0 0 0
15342 0 32000 32000
0 0 0 0
17720 0 23000 23000
0 0 NA 0
0 0 0 0
14000 24000 256560 270000
0 0 0 0
28460 24488 32054 45000
25895 24252 62855 73000
1259 16000 172000 172000
8205 943 0 0
29850 6014 47151 57000
11272 13351 45000 45000
0 0 0 0
0 0 NA NA
5535 4664 NA 0
21848 21327 22827 26000
0 0 0 0
24782 16661 47219 52000
36941 0 79060 89060
0 7697 63000 63000
0 25000 18609 25000
2282 0 13000 13000
11000 5902 258000 258000
28062 5598 55939 64000
10001 24000 31268 38000
0 18272 98000 98000
28651 29319 669 19319
17395 0 82000 82000
0 0 56000 56000
0 0 0 0
25336 8467 58665 64000
21845 22995 47162 52000
0 21360 65641 67000
27615 20001 30386 38000
18000 18000 119 18000
13887 23653 49348 53000
0 23602 29399 33000
22000 19153 12720 22000
37114 36738 21150 41150
32326 14725 12326 22326
16000 0 44682 50000
0 11647 166000 167647
27833 39408 11576 29408
40001 40001 488 20488
40001 0 21657 31657
1130 17862 57000 57000
3717 0 123000 123000
0 40001 151884 161884
0 0 68000 68000
0 0 0 0
0 0 0 0
0 10382 0 382
24207 28207 16588 29000
22491 0 442491 452491
0 0 0 0
17000 17000 12240 17000
0 29108 69893 79000
0 0 NA 0
0 0 0 0
0 0 0 0
0 0 NA 0
28922 12901 21079 30000
26144 22519 107339 116000
15546 16000 6340 16000
11412 22026 31975 34000
10037 0 0 37
0 23987 44014 48000
0 0 0 0
0 10110 64000 64000
23102 9485 82899 86000
0 31678 25323 35323
8000 7115 0 0
29457 10501 86544 96000
0 31720 11720 21720
0 20970 174031 175000
28455 19700 29546 38000
0 3923 120000 120000
39510 4001 100491 110491
7947 0 181000 181000
0 0 0 0
20893 10001 30108 31000
21790 1557 43211 45000
24000 14550 17806 24000
0 8834 0 0
11201 0 70000 70000
0 0 0 0
14000 0 106118 116118
23985 24154 170 14154
14000 20548 40453 41000
11687 11606 0 1687
0 0 0 0
28584 26219 61199 76000
22572 36147 19283 31854
32749 32997 NA 19753
3755 6964 NA 0
28709 17497 21292 30000
0 14935 81000 81000
26504 14380 54497 61000
21000 34928 71688 87073
34519 29026 5494 24519
5324 22498 38503 41000
0 0 NA 0
17337 35414 15414 25414
0 23850 69151 73000
6901 23845 NA 0
0 14000 10479 14000
0 0 0 0
0 0 0 0
21000 21000 NA 14339
21000 30378 36982 52623
26457 0 6457 16457
0 0 NA 0
0 0 0 0
22812 21642 65548 70000
5453 5286 0 0
0 0 0 0
0 0 0 0
0 60 0 0
28555 22345 18102 29000
7874 5764 0 0
0 15000 8896 15000
0 0 NA 0
0 0 NA 0
0 0 NA 0
14841 19418 71000 71000
0 19000 NA NA
23769 17687 51232 55000
14180 18990 33000 33000
0 23496 33505 37000
0 5686 0 0
26168 23493 24341 34000
0 30570 10570 20570
0 26000 33806 40000
12601 31910 111091 123692
37092 0 232909 242909
24882 27322 23798 36000
0 0 0 0
3449 23023 36978 40000
14003 21906 39095 41000
0 0 0 0
9119 0 139000 139000
0 21933 453068 455000
0 0 0 0
22231 0 33770 36000
0 0 0 0
27616 29525 1910 19525
0 0 0 0
0 0 NA 0
25209 21371 39422 46000
1664 16247 NA 0
0 0 NA 0
0 0 NA 0
21952 0 190049 192000
0 0 28000 28000
0 2882 42000 42000
0 0 0 0
10380 12740 0 2740
20637 20675 39 10675
40001 27131 15272 32402
0 0 0 0
0 0 0 0
30487 18000 51920 63514
0 0 96000 96000
27408 0 119593 127000
0 0 0 0
0 27512 76489 84000
0 0 0 0
0 0 0 0
10088 8799 53000 53000
25000 0 15815 25000
0 8355 42000 42000
22145 39894 86963 99107
9524 8582 50000 50000
0 0 0 0
4732 11702 87000 87000
7431 0 0 0
23305 21518 39179 44000
23130 19196 76871 80000
12837 6057 73000 73000
0 0 NA 0
259 0 NA 0
8882 29000 40090 50090
0 17993 82000 82000
0 0 0 0
17000 0 13260 17000
0 0 0 0
0 0 0 0
1908 19547 NA 0
26933 8226 112068 119000
13434 23265 54736 58000
0 192 406000 406000
0 0 0 0
22978 26580 155444 165000
16813 18366 49000 49000
0 0 0 0
7001 6963 58000 58000
3011 2271 0 0
0 0 0 0
26000 36262 69682 87739
9985 8574 0 0
0 0 0 0
16000 15900 71955 76000
0 18785 194000 202785
0 0 NA 0
22508 12000 176857 181000
25221 28346 79435 93000
0 0 0 0
21000 21000 NA 15606
0 0 0 0
14000 18759 NA 0
14000 14000 9552 14000
14000 14000 NA 4314
0 0 0 0
22762 0 37239 40000
15000 15000 13722 15000
19940 19858 NA 9858
4383 16754 30000 30000
0 20985 130985 140985
13623 4484 53000 53000
40001 26928 13096 30023
0 0 0 0
27207 0 23794 31000
21589 0 36412 38000
0 0 0 0
22140 18247 36861 39000
20450 16000 103551 104000
0 0 0 0
25241 10115 60760 66000
15388 10017 25000 25000
25772 25418 102812 114000
17002 4450 106000 106000
13000 1001 72000 72000
20920 632 920 10920
26363 20692 106947 114000
18460 13097 62000 62000
23000 23000 8499 22618
21000 23556 19796 34556
0 0 0 0
17000 17000 11691 17000
13293 17000 NA 3293
0 23584 3584 13584
25333 17990 58668 64000
20000 12426 NA NA
20000 20000 8725 20000
1677 1508 0 0
0 0 0 0
0 0 92000 92000
14936 22188 24813 27000
1631 1558 0 0
15232 15000 51690 58000
11200 16366 110366 112000
24001 19889 27833 29000
32171 12513 53830 63830
7713 0 0 0
0 0 NA 0
0 16652 27000 27000
3635 2868 0 0
0 0 0 0
0 0 0 0
23560 25000 47326 59000
